domain,date,max_concurrents
europe.newsweek.com,2015-09-01,422
europe.newsweek.com,2015-09-02,431
europe.newsweek.com,2015-09-03,327
europe.newsweek.com,2015-09-04,429
europe.newsweek.com,2015-09-05,285
europe.newsweek.com,2015-09-06,222
europe.newsweek.com,2015-09-07,351
europe.newsweek.com,2015-09-08,356
europe.newsweek.com,2015-09-09,432
europe.newsweek.com,2015-09-10,712
europe.newsweek.com,2015-09-11,321
europe.newsweek.com,2015-09-12,249
europe.newsweek.com,2015-09-13,212
europe.newsweek.com,2015-09-14,342
europe.newsweek.com,2015-09-15,389
europe.newsweek.com,2015-09-16,396
europe.newsweek.com,2015-09-17,401
europe.newsweek.com,2015-09-18,360
europe.newsweek.com,2015-09-19,211
europe.newsweek.com,2015-09-20,206
europe.newsweek.com,2015-09-21,326
europe.newsweek.com,2015-09-22,374
europe.newsweek.com,2015-09-23,407
europe.newsweek.com,2015-09-24,393
europe.newsweek.com,2015-09-25,332
europe.newsweek.com,2015-09-26,172
europe.newsweek.com,2015-09-27,170
europe.newsweek.com,2015-09-28,282
europe.newsweek.com,2015-09-29,383
europe.newsweek.com,2015-09-30,279
europe.newsweek.com,2015-10-01,258
europe.newsweek.com,2015-10-02,336
europe.newsweek.com,2015-10-03,253
europe.newsweek.com,2015-10-04,181
europe.newsweek.com,2015-10-05,292
europe.newsweek.com,2015-10-06,275
europe.newsweek.com,2015-10-07,423
europe.newsweek.com,2015-10-08,342
europe.newsweek.com,2015-10-09,254
europe.newsweek.com,2015-10-10,170
europe.newsweek.com,2015-10-11,154
europe.newsweek.com,2015-10-12,237
europe.newsweek.com,2015-10-13,380
europe.newsweek.com,2015-10-14,276
europe.newsweek.com,2015-10-15,248
europe.newsweek.com,2015-10-16,274
europe.newsweek.com,2015-10-17,176
europe.newsweek.com,2015-10-18,167
europe.newsweek.com,2015-10-19,370
europe.newsweek.com,2015-10-20,335
europe.newsweek.com,2015-10-21,277
europe.newsweek.com,2015-10-22,246
europe.newsweek.com,2015-10-23,229
europe.newsweek.com,2015-10-24,165
europe.newsweek.com,2015-10-25,173
europe.newsweek.com,2015-10-26,241
europe.newsweek.com,2015-10-27,306
europe.newsweek.com,2015-10-28,288
europe.newsweek.com,2015-10-29,285
europe.newsweek.com,2015-10-30,261
europe.newsweek.com,2015-10-31,176
europe.newsweek.com,2015-11-01,180
europe.newsweek.com,2015-11-02,256
europe.newsweek.com,2015-11-03,249
