domain,date,max_concurrents
ft.com,2015-01-01,4930
ft.com,2015-01-02,16323
ft.com,2015-01-03,5286
ft.com,2015-01-04,6533
ft.com,2015-01-05,35000
ft.com,2015-01-06,32726
ft.com,2015-01-07,32770
ft.com,2015-01-08,26651
ft.com,2015-01-09,23792
ft.com,2015-01-10,4514
ft.com,2015-01-11,5265
ft.com,2015-01-12,27735
ft.com,2015-01-13,26303
ft.com,2015-01-14,26575
ft.com,2015-01-15,29011
ft.com,2015-01-16,26724
ft.com,2015-01-17,4869
ft.com,2015-01-18,4997
ft.com,2015-01-19,29876
ft.com,2015-01-20,28161
ft.com,2015-01-21,26608
ft.com,2015-01-22,30883
ft.com,2015-01-23,24369
ft.com,2015-01-24,4219
ft.com,2015-01-25,7360
ft.com,2015-01-26,32645
ft.com,2015-01-27,27228
ft.com,2015-01-28,27674
ft.com,2015-01-29,26140
ft.com,2015-01-30,23729
ft.com,2015-01-31,4585
ft.com,2015-02-01,5623
ft.com,2015-02-02,29145
ft.com,2015-02-03,27797
ft.com,2015-02-04,27499
ft.com,2015-02-05,28130
ft.com,2015-02-06,24357
ft.com,2015-02-07,4394
ft.com,2015-02-08,5624
ft.com,2015-02-09,29386
ft.com,2015-02-10,25561
ft.com,2015-02-11,24701
ft.com,2015-02-12,26027
ft.com,2015-02-13,23268
ft.com,2015-02-14,4371
ft.com,2015-02-15,5339
ft.com,2015-02-16,27859
ft.com,2015-02-17,26320
ft.com,2015-02-18,25016
ft.com,2015-02-19,23746
ft.com,2015-02-20,22122
ft.com,2015-02-21,4273
ft.com,2015-02-22,5054
ft.com,2015-02-23,26988
ft.com,2015-02-24,25343
ft.com,2015-02-25,24640
ft.com,2015-02-26,24573
ft.com,2015-02-27,21126
ft.com,2015-02-28,4445
ft.com,2015-03-01,5223
ft.com,2015-03-02,27341
ft.com,2015-03-03,24833
ft.com,2015-03-04,26971
ft.com,2015-03-05,25594
ft.com,2015-03-06,22537
ft.com,2015-03-07,4929
ft.com,2015-03-08,5733
ft.com,2015-03-09,28472
ft.com,2015-03-10,28706
ft.com,2015-03-11,28147
ft.com,2015-03-12,27367
ft.com,2015-03-13,26099
ft.com,2015-03-14,4661
ft.com,2015-03-15,5955
ft.com,2015-03-16,31212
ft.com,2015-03-17,26081
ft.com,2015-03-18,28684
ft.com,2015-03-19,26636
ft.com,2015-03-20,23337
ft.com,2015-03-21,4703
ft.com,2015-03-22,5245
ft.com,2015-03-23,30116
ft.com,2015-03-24,26403
ft.com,2015-03-25,25903
ft.com,2015-03-26,26261
ft.com,2015-03-27,22464
ft.com,2015-03-28,4526
ft.com,2015-03-29,5805
ft.com,2015-03-30,28070
ft.com,2015-03-31,25518
ft.com,2015-04-01,26279
ft.com,2015-04-02,21542
ft.com,2015-04-03,7677
ft.com,2015-04-04,3551
ft.com,2015-04-05,3886
ft.com,2015-04-06,12997
ft.com,2015-04-07,26940
ft.com,2015-04-08,29055
ft.com,2015-04-09,26510
ft.com,2015-04-10,23534
ft.com,2015-04-11,4565
ft.com,2015-04-12,4991
ft.com,2015-04-13,28895
ft.com,2015-04-14,27637
ft.com,2015-04-15,27387
ft.com,2015-04-16,28114
ft.com,2015-04-17,26525
ft.com,2015-04-18,4520
ft.com,2015-04-19,5078
ft.com,2015-04-20,30851
ft.com,2015-04-21,27615
ft.com,2015-04-22,27617
ft.com,2015-04-23,20806
ft.com,2015-04-24,23842
ft.com,2015-04-25,4865
ft.com,2015-04-26,5436
ft.com,2015-04-27,29825
ft.com,2015-04-28,28095
ft.com,2015-04-29,26306
ft.com,2015-04-30,26013
