domain,date,max_concurrents
ibtimes.co.uk,2015-09-01,4500
ibtimes.co.uk,2015-09-02,3891
ibtimes.co.uk,2015-09-03,3864
ibtimes.co.uk,2015-09-04,4291
ibtimes.co.uk,2015-09-05,2850
ibtimes.co.uk,2015-09-06,2811
ibtimes.co.uk,2015-09-07,4344
ibtimes.co.uk,2015-09-08,3524
ibtimes.co.uk,2015-09-09,3516
ibtimes.co.uk,2015-09-10,3743
ibtimes.co.uk,2015-09-11,3519
ibtimes.co.uk,2015-09-12,3037
ibtimes.co.uk,2015-09-13,3263
ibtimes.co.uk,2015-09-14,3795
ibtimes.co.uk,2015-09-15,3996
ibtimes.co.uk,2015-09-16,4000
ibtimes.co.uk,2015-09-17,3392
ibtimes.co.uk,2015-09-18,3675
ibtimes.co.uk,2015-09-19,4000
ibtimes.co.uk,2015-09-20,4000
ibtimes.co.uk,2015-09-21,4933
ibtimes.co.uk,2015-09-22,4530
ibtimes.co.uk,2015-09-23,4197
ibtimes.co.uk,2015-09-24,3705
ibtimes.co.uk,2015-09-25,3616
ibtimes.co.uk,2015-09-26,3109
ibtimes.co.uk,2015-09-27,3200
ibtimes.co.uk,2015-09-28,3870
ibtimes.co.uk,2015-09-29,3904
ibtimes.co.uk,2015-09-30,4587
ibtimes.co.uk,2015-10-01,3837
ibtimes.co.uk,2015-10-02,3416
ibtimes.co.uk,2015-10-03,3290
ibtimes.co.uk,2015-10-04,3416
ibtimes.co.uk,2015-10-05,3868
ibtimes.co.uk,2015-10-06,4279
ibtimes.co.uk,2015-10-07,4317
ibtimes.co.uk,2015-10-08,5115
ibtimes.co.uk,2015-10-09,3834
ibtimes.co.uk,2015-10-10,3669
ibtimes.co.uk,2015-10-11,4367
ibtimes.co.uk,2015-10-12,4039
ibtimes.co.uk,2015-10-13,3740
ibtimes.co.uk,2015-10-14,3992
ibtimes.co.uk,2015-10-15,3801
ibtimes.co.uk,2015-10-16,3667
ibtimes.co.uk,2015-10-17,3551
ibtimes.co.uk,2015-10-18,3727
ibtimes.co.uk,2015-10-19,4464
ibtimes.co.uk,2015-10-20,3891
ibtimes.co.uk,2015-10-21,5687
ibtimes.co.uk,2015-10-22,4520
ibtimes.co.uk,2015-10-23,4216
ibtimes.co.uk,2015-10-24,4442
ibtimes.co.uk,2015-10-25,3562
ibtimes.co.uk,2015-10-26,4895
ibtimes.co.uk,2015-10-27,4434
ibtimes.co.uk,2015-10-28,4359
ibtimes.co.uk,2015-10-29,3775
ibtimes.co.uk,2015-10-30,3436
ibtimes.co.uk,2015-10-31,3034
ibtimes.co.uk,2015-11-01,3276
ibtimes.co.uk,2015-11-02,4725
ibtimes.co.uk,2015-11-03,3914
ibtimes.co.uk,2015-11-04,3477
ibtimes.co.uk,2015-11-05,3864
ibtimes.co.uk,2015-11-06,3540
ibtimes.co.uk,2015-11-07,3272
ibtimes.co.uk,2015-11-08,3368
ibtimes.co.uk,2015-11-09,4121
ibtimes.co.uk,2015-11-10,4008
ibtimes.co.uk,2015-11-11,4212
ibtimes.co.uk,2015-11-12,4443
ibtimes.co.uk,2015-11-13,3624
ibtimes.co.uk,2015-11-14,3849
ibtimes.co.uk,2015-11-15,3744
ibtimes.co.uk,2015-11-16,4688
ibtimes.co.uk,2015-11-17,4797
ibtimes.co.uk,2015-11-18,5138
ibtimes.co.uk,2015-11-19,4701
ibtimes.co.uk,2015-11-20,4073
ibtimes.co.uk,2015-11-21,4017
ibtimes.co.uk,2015-11-22,4325
ibtimes.co.uk,2015-11-23,4668
ibtimes.co.uk,2015-11-24,4534
ibtimes.co.uk,2015-11-25,5943
ibtimes.co.uk,2015-11-26,4482
