domain,date,max_concurrents
gizmodo.com,2016-03-01,28308
gizmodo.com,2016-03-02,30523
gizmodo.com,2016-03-03,35381
gizmodo.com,2016-03-04,29030
gizmodo.com,2016-03-05,13753
gizmodo.com,2016-03-06,14283
gizmodo.com,2016-03-07,38838
gizmodo.com,2016-03-08,32925
gizmodo.com,2016-03-09,38035
gizmodo.com,2016-03-10,40415
gizmodo.com,2016-03-11,31626
gizmodo.com,2016-03-12,15457
gizmodo.com,2016-03-13,15458
gizmodo.com,2016-03-14,38122
gizmodo.com,2016-03-15,37341
gizmodo.com,2016-03-16,32911
gizmodo.com,2016-03-17,34951
gizmodo.com,2016-03-18,31188
gizmodo.com,2016-03-19,10661
gizmodo.com,2016-03-20,16461
gizmodo.com,2016-03-21,61621
gizmodo.com,2016-03-22,39982
gizmodo.com,2016-03-23,37244
gizmodo.com,2016-03-24,37676
gizmodo.com,2016-03-25,36899
gizmodo.com,2016-03-26,13341
gizmodo.com,2016-03-27,14701
gizmodo.com,2016-03-28,42129
gizmodo.com,2016-03-29,47732
gizmodo.com,2016-03-30,34503
gizmodo.com,2016-03-31,39447
