domain,date,max_concurrents
mynet.com,2015-01-01,56102
mynet.com,2015-01-02,71983
mynet.com,2015-01-03,60001
mynet.com,2015-01-04,62522
mynet.com,2015-01-05,90150
mynet.com,2015-01-06,93073
mynet.com,2015-01-07,100000
mynet.com,2015-01-08,97488
mynet.com,2015-01-09,83969
mynet.com,2015-01-10,61766
mynet.com,2015-01-11,55405
mynet.com,2015-01-12,88850
mynet.com,2015-01-13,82972
mynet.com,2015-01-14,85704
mynet.com,2015-01-15,92230
mynet.com,2015-01-16,81500
mynet.com,2015-01-17,59808
mynet.com,2015-01-18,54707
mynet.com,2015-01-19,81115
mynet.com,2015-01-20,82456
mynet.com,2015-01-21,89457
mynet.com,2015-01-22,80726
mynet.com,2015-01-23,82281
mynet.com,2015-01-24,56132
mynet.com,2015-01-25,53464
mynet.com,2015-01-26,79814
mynet.com,2015-01-27,85945
mynet.com,2015-01-28,80620
mynet.com,2015-01-29,81576
mynet.com,2015-01-30,81172
mynet.com,2015-01-31,54630
mynet.com,2015-02-01,54134
mynet.com,2015-02-02,83361
mynet.com,2015-02-03,80779
mynet.com,2015-02-04,82763
mynet.com,2015-02-05,80273
mynet.com,2015-02-06,91267
mynet.com,2015-02-07,61476
mynet.com,2015-02-08,54758
mynet.com,2015-02-09,91594
mynet.com,2015-02-10,90215
mynet.com,2015-02-11,85508
mynet.com,2015-02-12,85701
mynet.com,2015-02-13,87006
mynet.com,2015-02-14,59381
mynet.com,2015-02-15,58249
mynet.com,2015-02-16,99988
mynet.com,2015-02-17,99999
mynet.com,2015-02-18,100000
mynet.com,2015-02-19,93505
mynet.com,2015-02-20,88782
mynet.com,2015-02-21,59924
mynet.com,2015-02-22,58127
mynet.com,2015-02-23,86461
mynet.com,2015-02-24,84449
mynet.com,2015-02-25,94790
mynet.com,2015-02-26,80275
mynet.com,2015-02-27,81023
mynet.com,2015-02-28,68642
mynet.com,2015-03-01,59747
mynet.com,2015-03-02,84332
mynet.com,2015-03-03,88236
mynet.com,2015-03-04,85991
mynet.com,2015-03-05,98519
mynet.com,2015-03-06,84573
mynet.com,2015-03-07,57834
mynet.com,2015-03-08,58690
mynet.com,2015-03-09,87255
mynet.com,2015-03-10,86899
mynet.com,2015-03-11,95528
mynet.com,2015-03-12,98259
mynet.com,2015-03-13,90783
mynet.com,2015-03-14,60960
mynet.com,2015-03-15,60034
mynet.com,2015-03-16,87323
mynet.com,2015-03-17,97861
mynet.com,2015-03-18,89363
mynet.com,2015-03-19,99988
mynet.com,2015-03-20,97551
mynet.com,2015-03-21,73836
mynet.com,2015-03-22,62449
mynet.com,2015-03-23,95366
mynet.com,2015-03-24,100000
mynet.com,2015-03-25,100000
mynet.com,2015-03-26,100000
mynet.com,2015-03-27,100000
mynet.com,2015-03-28,66079
mynet.com,2015-03-29,61364
mynet.com,2015-03-30,100000
mynet.com,2015-03-31,100000
mynet.com,2015-04-01,100000
mynet.com,2015-04-02,100000
mynet.com,2015-04-03,100000
mynet.com,2015-04-04,100000
mynet.com,2015-04-05,63525
mynet.com,2015-04-06,100000
mynet.com,2015-04-07,100000
mynet.com,2015-04-08,100000
mynet.com,2015-04-09,100000
mynet.com,2015-04-10,100000
mynet.com,2015-04-11,81625
mynet.com,2015-04-12,57465
mynet.com,2015-04-13,100000
mynet.com,2015-04-14,99535
mynet.com,2015-04-15,98180
mynet.com,2015-04-16,95732
mynet.com,2015-04-17,86893
mynet.com,2015-04-18,97504
mynet.com,2015-04-19,72732
mynet.com,2015-04-20,100000
mynet.com,2015-04-21,100000
mynet.com,2015-04-22,91932
mynet.com,2015-04-23,99985
mynet.com,2015-04-24,100000
