domain,date,max_concurrents
nationalgeographic.com,2015-01-01,8062
nationalgeographic.com,2015-01-02,8603
nationalgeographic.com,2015-01-03,8302
nationalgeographic.com,2015-01-04,8233
nationalgeographic.com,2015-01-05,11118
nationalgeographic.com,2015-01-06,14168
nationalgeographic.com,2015-01-07,13257
nationalgeographic.com,2015-01-08,13752
nationalgeographic.com,2015-01-09,14482
nationalgeographic.com,2015-01-10,11252
nationalgeographic.com,2015-01-11,10500
nationalgeographic.com,2015-01-12,17857
nationalgeographic.com,2015-01-13,17998
nationalgeographic.com,2015-01-14,16573
nationalgeographic.com,2015-01-15,18000
nationalgeographic.com,2015-01-16,13458
nationalgeographic.com,2015-01-17,8368
nationalgeographic.com,2015-01-18,7786
nationalgeographic.com,2015-01-19,10855
nationalgeographic.com,2015-01-20,14488
nationalgeographic.com,2015-01-21,13497
nationalgeographic.com,2015-01-22,17845
nationalgeographic.com,2015-01-23,12222
nationalgeographic.com,2015-01-24,8486
nationalgeographic.com,2015-01-25,9635
nationalgeographic.com,2015-01-26,13831
nationalgeographic.com,2015-01-27,14468
nationalgeographic.com,2015-01-28,13742
nationalgeographic.com,2015-01-29,13587
nationalgeographic.com,2015-01-30,13394
nationalgeographic.com,2015-01-31,8496
nationalgeographic.com,2015-02-01,9499
nationalgeographic.com,2015-02-02,12992
nationalgeographic.com,2015-02-03,13065
nationalgeographic.com,2015-02-04,13895
nationalgeographic.com,2015-02-05,16840
nationalgeographic.com,2015-02-06,12900
nationalgeographic.com,2015-02-07,7070
nationalgeographic.com,2015-02-08,9770
nationalgeographic.com,2015-02-09,13266
nationalgeographic.com,2015-02-10,13988
nationalgeographic.com,2015-02-11,13084
nationalgeographic.com,2015-02-12,12804
nationalgeographic.com,2015-02-13,11771
nationalgeographic.com,2015-02-14,7579
nationalgeographic.com,2015-02-15,8239
nationalgeographic.com,2015-02-16,10533
nationalgeographic.com,2015-02-17,11235
nationalgeographic.com,2015-02-18,12705
nationalgeographic.com,2015-02-19,12384
nationalgeographic.com,2015-02-20,10636
nationalgeographic.com,2015-02-21,7847
nationalgeographic.com,2015-02-22,10628
nationalgeographic.com,2015-02-23,13697
nationalgeographic.com,2015-02-24,16165
nationalgeographic.com,2015-02-25,14627
nationalgeographic.com,2015-02-26,15632
nationalgeographic.com,2015-02-27,12094
nationalgeographic.com,2015-02-28,9067
nationalgeographic.com,2015-03-01,9057
nationalgeographic.com,2015-03-02,17987
nationalgeographic.com,2015-03-03,16146
nationalgeographic.com,2015-03-04,15357
nationalgeographic.com,2015-03-05,16881
nationalgeographic.com,2015-03-06,12585
nationalgeographic.com,2015-03-07,7900
nationalgeographic.com,2015-03-08,8886
nationalgeographic.com,2015-03-09,12929
nationalgeographic.com,2015-03-10,13449
nationalgeographic.com,2015-03-11,12277
nationalgeographic.com,2015-03-12,12996
nationalgeographic.com,2015-03-13,10672
nationalgeographic.com,2015-03-14,6987
nationalgeographic.com,2015-03-15,8342
nationalgeographic.com,2015-03-16,12919
nationalgeographic.com,2015-03-17,14035
nationalgeographic.com,2015-03-18,12413
nationalgeographic.com,2015-03-19,15989
nationalgeographic.com,2015-03-20,14395
nationalgeographic.com,2015-03-21,7136
nationalgeographic.com,2015-03-22,8606
nationalgeographic.com,2015-03-23,14317
